Country,Academic_Reputation,Employer_Reputation,Research_Quality,Employment_Outcomes,Tuition_USD,Living_Cost_Index,Rent_USD
Argentina,23.266666666666666,23.383333333333333,2.2888888888888888,29.466666666666665,0.0,39.61666666666667,293.3333333333333
Australia,39.483333333333334,34.702777777777776,70.69722222222222,34.7,34610.46511627907,68.2453488372093,1361.6279069767445
Austria,30.5375,21.9625,24.575,37.95,1500.0,71.06666666666666,794.4444444444445
Bahrain,19.666666666666668,18.133333333333333,6.6000000000000005,26.5,7600.0,62.86,630.0
Bangladesh,12.653333333333334,23.153333333333332,10.2,13.833333333333334,2220.0,38.96,192.0
Belgium,38.11,26.53,51.589999999999996,50.58,3566.6666666666665,71.3111111111111,827.7777777777778
Brazil,27.479166666666668,15.674999999999999,13.625,27.879166666666666,1000.0,50.2375,466.25
Bulgaria,16.0,25.2,3.1,88.6,3200.0,44.96,340.0
Canada,35.55172413793103,34.46206896551724,51.80344827586207,50.44827586206897,29456.57894736842,62.95,1167.7631578947369
Colombia,32.33846153846154,36.36153846153846,4.476923076923077,39.599999999999994,3550.0,36.98333333333333,313.3333333333333
Croatia,12.700000000000001,10.133333333333333,8.533333333333333,45.36666666666667,3583.333333333333,55.05,390.0
Cyprus,11.35,7.8500000000000005,51.05,32.95,7750.0,60.96666666666667,501.6666666666667
Denmark,50.839999999999996,33.9,69.44,57.339999999999996,1720.0,73.72,1103.3333333333333
Dominican Republic,3.95,6.9,1.8,50.75,5160.0,39.04,288.0
Ecuador,16.27142857142857,13.142857142857142,4.871428571428572,16.25714285714286,7360.0,42.64,330.0
Egypt,17.7,17.715,5.1049999999999995,20.79,4700.0,31.142857142857142,232.8571428571429
Finland,31.22222222222222,23.12222222222222,56.666666666666664,39.27777777777778,0.0,70.92727272727274,859.0909090909091
France,29.93142857142857,21.482857142857142,33.41142857142857,28.30857142857143,4633.333333333333,71.65185185185184,1061.111111111111
Germany,36.329166666666666,33.643750000000004,41.59583333333333,27.458333333333332,177.27272727272728,67.98181818181818,956.060606060606
Ghana,14.0,10.8,7.3500000000000005,73.35,4000.0,38.52,232.0
Greece,22.414285714285715,30.32857142857143,47.457142857142856,33.614285714285714,147.05882352941177,60.94117647058823,475.88235294117646
Hungary,16.830000000000002,20.259999999999998,9.52,21.07,5600.0,46.8875,356.25
Iceland,9.6,2.0,18.0,89.3,0.0,81.75,1016.6666666666666
India,18.492592592592594,24.927777777777777,43.7074074074074,17.333333333333332,1900.0,43.375,312.5
Indonesia,25.45384615384615,30.653846153846153,2.5461538461538464,22.361538461538462,3900.0,41.4875,298.75
Ireland,40.1375,40.45,36.0375,49.0,17890.0,71.71000000000001,1130.0
Israel,27.766666666666666,26.2,56.300000000000004,57.4,12000.0,76.2,1200.0
Italy,27.01860465116279,17.025581395348837,50.14651162790698,19.004651162790697,3576.470588235294,69.88235294117646,970.5882352941176
Japan,27.517021276595745,31.104255319148937,19.374468085106383,20.66808510638298,7875.0,68.02499999999999,758.3333333333334
Kuwait,20.9,22.433333333333334,8.333333333333334,38.33333333333333,11800.0,67.28,716.0
Lebanon,18.244444444444444,32.611111111111114,8.455555555555556,30.06666666666667,14200.0,54.54,474.0
Luxembourg,13.2,8.2,39.5,58.8,400.0,78.89999999999999,1185.7142857142858
Malaysia,29.053125,34.309375,19.6,11.709375,7220.0,51.42,433.0
Mexico,22.931818181818183,23.018181818181816,2.5863636363636364,26.94090909090909,5700.0,46.01111111111111,506.6666666666667
Morocco,9.7,3.1,10.75,40.4,1950.0,40.23333333333333,280.0
Netherlands,55.76923076923077,49.76923076923077,73.05384615384615,53.9076923076923,13523.809523809525,71.0047619047619,1004.7619047619048
New Zealand,46.3625,29.275000000000002,57.9,64.775,29333.33333333333,72.86666666666666,1005.5555555555557
Nigeria,9.1,14.166666666666666,4.8999999999999995,82.46666666666667,2500.0,40.2,400.0
Norway,31.38333333333333,17.016666666666666,31.933333333333334,49.050000000000004,0.0,72.32727272727273,1036.3636363636365
Panama,9.0,13.149999999999999,1.2,35.2,6600.0,46.44,436.0
Peru,19.72222222222222,25.1,2.0666666666666664,21.744444444444444,7250.0,40.43333333333333,288.3333333333333
Poland,17.315,21.485,11.2,15.540000000000001,2762.5,50.775,566.25
Portugal,29.11111111111111,26.811111111111114,48.98888888888889,42.833333333333336,5900.0,58.1,586.6666666666666
Romania,10.9,17.41,8.040000000000001,19.910000000000004,2185.714285714286,41.785714285714285,361.4285714285714
Saudi Arabia,19.90909090909091,20.05,22.195454545454545,16.654545454545453,4790.0,65.45,681.0
Serbia,18.05,10.25,8.5,64.55,2520.0,44.96,304.0
Singapore,56.85,57.075,73.1,57.775,34172.22222222222,82.02222222222221,1394.4444444444443
Slovenia,14.700000000000001,13.399999999999999,10.666666666666666,50.86666666666667,4140.0,58.0,430.0
South Africa,23.345454545454547,28.136363636363637,36.10909090909091,66.37272727272727,5900.0,49.2,600.0
Spain,29.260526315789477,28.163157894736845,21.3,28.792105263157893,3188.235294117647,66.78823529411765,814.7058823529412
Sweden,51.7125,42.175,60.1,66.15,0.0,70.86,925.0
Switzerland,45.78,37.69,65.27,52.86,1460.0,97.82,1690.0
Taiwan,24.992592592592594,28.555555555555557,29.322222222222223,26.496296296296297,5200.0,62.8,700.0
Thailand,28.62,20.10666666666667,7.866666666666666,21.040000000000003,9850.0,44.7875,325.0
Tunisia,11.225000000000001,5.025,5.3,35.7,1400.0,32.266666666666666,185.0
Ukraine,10.04,26.830000000000002,2.45,22.990000000000002,3520.0,42.760000000000005,340.0
Uruguay,24.075,23.475,1.65,34.599999999999994,2700.0,48.88,382.0
Uzbekistan,23.614285714285717,25.24285714285714,2.0,19.67142857142857,3620.0,40.36,230.0
